,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,CALIDAD_AS,CALIDAD_CD,CALIDAD_CR,CALIDAD_HG,CALIDAD_PB,CALIDAD_MN,CALIDAD_FE,SEMAFORO,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
290,0.5054541708375093,0.3295150410152302,0.16908449142519222,3,0.060973628634862186,2,0.0065749712436394825,3,3,0.10092623365363773,3,0.0,3,3,0.003944555602839786,2,0,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
291,0.5052608830901071,0.32979599938465165,0.38399369209540707,1,0.14967238858504361,1,0.0252568576608894,1,1,0.04390434217180839,3,0.22383610474753743,0,2,0.0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0
292,0.5340842472834848,0.3318857997513104,0.2601764242065839,1,0.08171332647425136,2,0.011439182734486186,2,2,0.13493822700671917,3,0.041718068822458564,1,4,0.004026878488189472,2,1,1,1,1,1,2,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
294,0.5016313687222169,0.34558376221803233,0.1305994973388528,3,0.029241349434125742,3,0.0033435361550309016,4,3,0.02803265659995665,2,0.027858094471012562,1,4,0.013783892656313449,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
295,0.5015290201754152,0.3460468743436601,0.1176079243051449,3,0.029999458493529002,3,0.0035230599204569826,4,3,0.0310064301712304,2,0.027858094471012562,1,4,0.014494489586250053,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
296,0.5013186184087113,0.3533755271350313,0.1839333234772324,3,0.03227378567173878,3,0.004331325668219835,4,3,0.02339715338487103,2,0.055723737602644624,1,1,0.07472359863946718,1,2,1,1,1,1,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
297,0.4994310427504849,0.35753415258733134,0.3241055588409225,1,0.21768560134293607,0,0.03417214215390015,1,1,0.0,0,0.3096691268965746,0,2,0.2681405317445104,0,2,1,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0
298,0.49975721582422583,0.35795200226444723,0.2708394933964124,1,0.20523095250988252,0,0.037122511843721374,1,1,0.0,0,0.3262399678036428,0,4,0.250708197912118,0,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
299,0.5031991471178143,0.3584206342008692,0.13266003843879365,3,0.020847999133589645,3,0.0029974850369446126,4,3,0.0,0,0.05024578544552776,1,2,0.03633547015496613,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300,0.505279339385432,0.3596316806891021,0.16737507392075696,3,0.02582985866681107,3,0.0035336205720078763,4,3,0.002384220793295282,0,0.06909927797852991,1,4,0.0693908361883436,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
301,0.5046850466759705,0.3530735934845922,0.07616301990932388,3,0.014079168246060541,3,0.0020226931550114046,4,3,0.03692507766779857,2,0.026155211653358323,1,0,0.036144689347773214,2,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
302,0.51771686902037,0.372245552315856,0.07247930218805441,2,0.012292196891752856,3,0.0018326087380344297,4,3,0.0087276930857597,1,0.020497358549449375,2,4,0.008068651136961287,2,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
303,0.5350842429210876,0.3647921518005376,0.45462497535974766,1,0.08842800671468024,2,0.010298676232624334,3,3,0.05031139368542735,3,0.010443967875856521,2,4,0.0,2,0,1,1,1,1,2,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0
304,0.5385946302918811,0.3712354269405297,0.1748626305933373,3,0.03795960361726323,2,0.004781354180882382,4,3,0.11495412181200779,3,0.0,3,3,0.0018224931299031244,2,0,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
305,0.5446630601947033,0.36012459979301836,0.07042800118273211,2,0.01310445659825635,3,0.009790160207045795,3,3,0.031954338559352646,2,0.0,3,4,0.015549148237918725,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
306,0.5438925937571413,0.3611501806385683,0.08068450620934359,3,0.017707261601776145,3,0.007064804164310921,3,3,0.04200563543096597,3,0.0015697518940011807,3,3,0.014459477563926631,2,2,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
307,0.5274973632665358,0.29832535012297867,0.09200670214863,3,0.04397032544538908,2,0.007540015206753359,3,3,0.011941333718661944,1,0.07998925028497514,1,3,0.0010430871617600806,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,0.5306973493068652,0.29989904818038615,0.14067120047309284,3,0.024746845724806413,3,0.0038601758524555007,4,3,0.003473737446716277,0,0.02297838686495045,2,4,0.0010926792613683252,2,0,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
309,0.5314362722578725,0.30572189658711746,0.1887196924896511,3,0.05886175339795311,2,0.006833291092351783,3,3,0.0038205331984683183,0,0.0942419661399813,1,4,0.008019042506653171,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
310,0.5346674662157516,0.3014407313351878,0.08892667060910704,3,0.023230627605999893,3,0.001069834090421695,4,3,0.011941333718661944,1,0.027465352967452394,1,4,0.005283211678265005,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
311,0.5352486717339824,0.3029338401550007,0.10247880938300809,3,0.01971083554448476,3,0.0031047121439572653,4,3,0.006797196734340003,1,0.024562021959951136,2,4,0.0004314512665917291,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
312,0.5359201453148024,0.30032407361153435,0.08276660753006111,3,0.03232793631883901,3,0.004152613417035463,4,3,0.016391879199479806,2,0.026937474602452167,1,4,0.0,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
313,0.5299070842979541,0.3128060217603087,0.16715947171299034,3,0.036659988086857644,2,0.0053467334724036425,3,3,0.005988006646918574,1,0.03643928517245628,1,4,0.0011753327607154,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
314,0.5199279332002908,0.30566945838457327,0.13327912477823772,3,0.025559105431309903,3,0.003482443998206383,4,3,0.003473737446716277,0,0.035647467624955936,1,4,0.0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
315,0.5175386818782335,0.3057986219571561,0.1708555095604179,3,0.0375805490875616,2,0.005785389819273586,3,3,0.017461166100715266,2,0.03643928517245628,1,4,0.00806036925632671,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
316,0.520693701671771,0.30475096186842954,0.23861620342992312,1,0.06351870904857312,2,0.009440859376523112,3,3,0.010265154251860413,1,0.05438714958246405,1,3,1.653069986941514e-06,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0
317,0.5338459932892907,0.31775122025077296,0.09570273999605756,3,0.019440082308983593,3,0.002519837014797341,4,3,0.0005259735568239289,0,0.031688379887454224,1,4,0.004241777586491866,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
318,0.5386838916474521,0.3168492831670112,0.075374531835206,2,0.013537661775058213,3,0.0019105920885890864,4,3,0.013097319557835416,1,0.008989610192444392,3,4,0.000538900815742926,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
319,0.5434033341465287,0.3203057886862978,0.10679085353834024,3,0.01965668489738452,3,0.002666055797087322,4,3,0.01208583194855863,1,0.028785048879952965,1,4,0.0005719622154817558,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
320,0.5346654528017156,0.33260171921130943,0.21630137492607926,3,0.061406833811664056,2,0.012032181535492173,2,2,0.024761216675095732,2,0.06786578460303389,1,3,0.047265982176120006,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
321,0.5328218366832624,0.3347925321155011,0.17920239503252516,3,0.030757567552932262,3,0.004103873822938803,4,3,0.0077855646268333205,1,0.04697024740286484,1,4,0.003879953627750112,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
322,0.5323496910919512,0.33343631460338263,0.23586265523358957,1,0.04077543726647534,2,0.00586093619012341,3,3,0.004216458348385232,0,0.06473145402300853,1,4,0.014649068160728952,2,2,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
323,0.5328144541651327,0.3316804627897688,0.28974472698600434,1,0.06563058428548221,2,0.014485407365527461,2,2,0.014397803626905566,1,0.05781835895496554,1,4,0.010614362386151313,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,0.5321543899305134,0.3243794090523683,0.11110289769367239,3,0.025559105431309903,3,0.005590431442886944,3,3,0.024108084675962715,2,0.00819779264494405,3,4,0.0014811507082995758,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
325,0.5655797474709003,0.12280309460464445,0.09185270057165386,3,0.06205664157686685,2,0.006857660889400113,3,3,0.0,0,0.05069200102746245,1,4,0.015408265348281635,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,0.5649683407421375,0.12912879777472142,0.1191109796964321,3,0.048952184978610494,2,0.012194646442984422,2,2,0.011392240445054547,1,0.07708591927747388,1,4,0.0,2,2,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
327,0.5073810080694279,0.17045727713363734,0.19857579341612458,3,0.05463800292413495,2,0.005785389819273586,3,3,0.0,0,0.08817136494247868,1,4,0.05299081150139643,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
328,0.5058743032329054,0.1712283947015778,0.20288783757145673,3,0.05452970162993448,2,0.005797574717797751,3,3,0.0,0,0.09714529714748256,1,4,0.05076743236896013,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
329,0.5659948463312072,0.1268480119545855,0.06983047506406466,2,0.02030649266258732,3,0.002008071276782407,4,3,0.0009883678924933158,0,0.044357460647459705,1,3,0.0,2,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
